Player_number,Age,Years,Value,Ave_Salary,Max Value,Year,Year_1,Year _2,VORP_0
72,30.7,3,24662500,8220833,24662500,2020,2019,2018,-0.5
73,30.2,1,2174318,2174318,2174318,2020,2019,2018,0
74,27.5,1,3623000,3623000,3623000,2020,2019,2018,0
75,28.7,1,9400000,9400000,9400000,2020,2019,2018,-0.1
76,29.1,2,6600000,3300000,6600000,2020,2019,2018,0.3
77,26.8,2,18978900,9489450,18978900,2020,2019,2018,0.4
78,26.6,1,5000000,5000000,5000000,2020,2019,2018,-0.2
79,31.9,1,2564753,2564753,2564753,2020,2019,2018,0.6
80,25.2,1,2028594,2028594,2028594,2020,2019,2018,0.1
81,22.4,2,3147290,1573645,3147290,2020,2019,2018,0.1
82,27.8,3,16000000,5333333,16000000,2020,2019,2018,-0.1
83,31.7,1,3077704,3077704,3077704,2020,2019,2018,1.6
84,35.8,1,10000000,10000000,10000000,2020,2019,2018,0.8
85,34.8,2,15000000,7500000,15000000,2020,2019,2018,1.9
86,28.5,1,1882867,1882867,1882867,2020,2019,2018,-0.1
87,30.6,1,2331593,2331593,2331593,2020,2019,2018,0.1
88,32.6,1,7300000,7300000,7300000,2020,2019,2018,-0.1
89,28.1,2,20898696,10449348,20898696,2020,2019,2018,0.3
90,31.2,2,18978900,9489450,18978900,2020,2019,2018,1.8
91,26.0,1,1678854,1678854,1678854,2020,2019,2018,-0.3
92,29.7,1,2174318,2174318,2174318,2020,2019,2018,0
93,23.8,1,1737145,1737145,1737145,2020,2019,2018,0.1
94,29.9,1,1678854,1678854,1678854,2020,2019,2018,0
95,28.0,3,9450000,3150000,9450000,2020,2019,2018,0.5
96,29.7,2,18978900,9489450,18978900,2020,2019,2018,0
97,28.5,1,2028594,2028594,2028594,2020,2019,2018,0.1
98,40.4,1,2564753,2564753,2564753,2020,2019,2018,0.1
99,33.0,1,2564753,2564753,2564753,2020,2019,2018,1.8
100,23.6,2,3383360,1691680,3383360,2020,2019,2018,-0.1
101,34.1,1,3623000,3623000,3623000,2020,2019,2018,1.1
102,27.2,2,8200000,4100000,8200000,2020,2019,2018,-0.6
103,26.4,1,1737145,1737145,1737145,2020,2019,2018,0
104,25.0,3,4994028,1664676,4994028,2020,2019,2018,-0.2
105,27.8,2,4160000,2080000,4160000,2021,2020,2019,0.7
106,30.0,3,30038400,10012800,30038400,2021,2020,2019,-0.1
107,27.4,4,37000000,9250000,37000000,2021,2020,2019,0.6
108,28.1,2,7650600,3825300,7650600,2021,2020,2019,-0.1
109,25.3,2,3607937,1803969,3607937,2021,2020,2019,-0.3
110,27.9,1,2401537,2401537,2401537,2021,2020,2019,-0.2
111,23.2,1,1489065,1489065,1489065,2021,2020,2019,-0.4
112,29.0,1,2401537,2401537,2401537,2021,2020,2019,0
113,30.8,1,2641691,2641691,2641691,2021,2020,2019,1.3
114,28.4,1,2389641,2389641,2389641,2021,2020,2019,0
115,32.3,1,2641691,2641691,2641691,2021,2020,2019,0.9
116,32.9,2,7000000,3500000,7000000,2021,2020,2019,-0.5
117,26.4,2,8912580,4456290,8912580,2021,2020,2019,1.4
118,24.9,1,4736102,4736102,4736102,2021,2020,2019,0.3
119,28.1,1,4500000,4500000,4500000,2021,2020,2019,0.1
120,26.9,3,19000000,6333333,19000000,2021,2020,2019,-0.4
121,37.2,1,2641691,2641691,2641691,2021,2020,2019,-1
122,22.1,1,1489065,1489065,1489065,2021,2020,2019,-0.3
123,28.6,1,1789256,1789256,1789256,2021,2020,2019,0.1
124,36.2,4,120000000,30000000,120000000,2021,2020,2019,0.4
125,25.0,1,1669178,1669178,1669178,2021,2020,2019,0.3
126,28.8,1,2389641,2389641,2389641,2021,2020,2019,0.1
127,29.9,2,10065500,5032750,10065500,2021,2020,2019,0.2
128,29.3,4,35605510,8901378,35605510,2021,2020,2019,0.6
129,34.1,2,20000000,10000000,20000000,2021,2020,2019,-0.6
130,26.2,3,8100000,2700000,8100000,2021,2020,2019,-0.1
131,24.4,1,1669178,1669178,1669178,2021,2020,2019,0.5
132,28.5,3,15000000,5000000,15000000,2021,2020,2019,0.7
133,33.1,1,2641691,2641691,2641691,2021,2020,2019,0.2
134,27.1,1,1939350,1939350,1939350,2021,2020,2019,0.5
135,21.2,1,1669178,1669178,1669178,2021,2020,2019,0
136,32.0,3,85000000,28333333,85000000,2021,2020,2019,-0.3
137,27.8,1,5890000,5890000,5890000,2021,2020,2019,1.4
138,23.8,1,1789256,1789256,1789256,2021,2020,2019,0.1
139,27.8,2,4133270,2066635,4133270,2021,2020,2019,1.6
140,32.8,3,43562189,14520730,43562189,2021,2020,2019,1.1
141,26.4,4,47300000,11825000,47300000,2021,2020,2019,-0.2
142,31.9,1,2389641,2389641,2389641,2021,2020,2019,0.1
143,22.5,4,7686312,1921578,7686312,2021,2020,2019,2
144,25.6,1,1789256,1789256,1789256,2021,2020,2019,0
145,29.6,3,42000000,14000000,42000000,2021,2020,2019,0.2
146,27.2,5,90000000,18000000,90000000,2021,2020,2019,0.8
147,25.9,1,1789256,1789256,1789256,2021,2020,2019,0
148,35.6,1,2641691,2641691,2641691,2021,2020,2019,0.4
149,32.5,1,2641691,2641691,2641691,2021,2020,2019,-0.7
150,27.4,1,2239544,2239544,2239544,2021,2020,2019,0.3
151,29.2,1,2641691,2641691,2641691,2021,2020,2019,0.5
152,28.8,4,73000000,18250000,73000000,2021,2020,2019,0
153,23.2,2,6150000,3075000,6150000,2021,2020,2019,1.6
154,28.3,1,2089448,2089448,2089448,2021,2020,2019,1.2
155,23.1,2,3825574,1912787,3825574,2021,2020,2019,0.3
156,25.1,2,3484855,1742428,3484855,2021,2020,2019,0
157,35.2,3,15466500,5155500,15466500,2021,2020,2019,0.5
158,24.9,1,1669178,1669178,1669178,2021,2020,2019,0
159,22.5,3,51840000,17280000,51840000,2021,2020,2019,0.3
160,35.2,2,8000000,4000000,8000000,2021,2020,2019,0
161,28.1,2,6765000,3382500,6765000,2021,2020,2019,0
162,31.5,1,4000000,4000000,4000000,2021,2020,2019,0
163,23.0,2,10400000,5200000,10400000,2021,2020,2019,-0.4
164,23.3,1,1789256,1789256,1789256,2021,2020,2019,0.5
165,32.1,1,2401537,2401537,2401537,2021,2020,2019,-0.1
166,21.8,1,1729217,1729217,1729217,2021,2020,2019,0.7
167,33.1,2,9225000,4612500,9225000,2021,2020,2019,-0.1
168,25.8,1,2089448,2089448,2089448,2021,2020,2019,-0.2
169,34.4,1,2641691,2641691,2641691,2021,2020,2019,1.2
170,31.1,2,16400000,8200000,16400000,2021,2020,2019,0.1
171,24.0,1,1669178,1669178,1669178,2021,2020,2019,0.1
172,22.4,3,13122000,4374000,13122000,2021,2020,2019,-0.1
173,2021.7,1,1669178,1669178,1669178,2021,2020,2019,1.2
174,23.2,5,100000000,20000000,100000000,2021,2020,2019,0.1
175,33.5,1,5000000,5000000,5000000,2021,2020,2019,0.4
176,28.0,2,3484855,1742428,3484855,2021,2020,2019,-0.1
177,34.9,2,9000000,4500000,9000000,2021,2020,2019,0.5
178,25.8,2,2488776,1244388,2488776,2021,2020,2019,0
179,23.8,5,125000000,25000000,125000000,2021,2020,2019,-0.1
180,26.7,1,1789256,1789256,1789256,2021,2020,2019,-0.1
181,25.4,3,6480000,2160000,6480000,2021,2020,2019,0
182,26.4,3,37920000,12640000,37920000,2021,2020,2019,-0.1
183,25.3,2,8000000,4000000,8000000,2021,2020,2019,0.2
184,24.3,1,1669178,1669178,1669178,2021,2020,2019,1.1
185,30.1,4,176265152,44066288,176265152,2021,2020,2019,3.6
186,25.6,2,3607937,1803969,3607937,2021,2020,2019,-0.2
187,30.2,3,37195122,12398374,37195122,2021,2020,2019,-0.1
188,25.6,2,25000000,12500000,25000000,2021,2020,2019,1
189,31.2,2,17894491,8947246,17894491,2021,2020,2019,-0.1
190,26.0,2,10250000,5125000,10250000,2021,2020,2019,0
191,32.1,1,2401537,2401537,2401537,2021,2020,2019,0
192,28.8,3,20002500,6667500,20002500,2021,2020,2019,0
193,24.1,1,1669178,1669178,1669178,2021,2020,2019,-0.7
194,35.3,3,85000002,28333334,85000002,2021,2020,2019,-0.1
195,36.1,1,2641691,2641691,2641691,2021,2020,2019,0.4
196,29.8,1,2239544,2239544,2239544,2021,2020,2019,0.8
197,24.2,4,67470906,16867727,67470906,2021,2020,2019,2.6
198,23.8,4,80000000,20000000,80000000,2021,2020,2019,0.2
199,34.8,1,5000000,5000000,5000000,2021,2020,2019,1.5
200,26.2,1,1789256,1789256,1789256,2021,2020,2019,0.1
201,23.5,1,1789256,1789256,1789256,2021,2020,2019,0.7
202,31.9,1,2641691,2641691,2641691,2021,2020,2019,0.6
203,28.2,2,9000000,4500000,9000000,2021,2020,2019,0.1
204,25.3,2,3421816,1710908,3421816,2021,2020,2019,0
205,33.8,3,68040000,22680000,68040000,2021,2020,2019,-0.1
206,30.1,2,7000000,3500000,7000000,2021,2020,2019,0.4
207,24.2,2,3607937,1803969,3607937,2021,2020,2019,2.6
208,22.2,1,1489065,1489065,1489065,2021,2020,2019,0.9
209,33.2,1,2089448,2089448,2089448,2021,2020,2019,0.6
210,27.2,3,27720000,9240000,27720000,2021,2020,2019,1.2
211,32.6,2,6498559,3249280,6498559,2021,2020,2019,4.2
212,28.2,5,90000000,18000000,90000000,2021,2020,2019,1.9
