,PLAYER,,Real Salary,Year
213,Louis Williams,"$5,000,000","$5,452,987",2022
218,Danuel House,"$4,997,424","$5,450,176",2022
219,Rui Hachimura,"$4,916,160","$5,361,552",2022
220,Taj Gibson,"$4,910,000","$5,354,834",2022
220,Garrett Temple,"$4,910,000","$5,354,834",2022
222,Torrey Craig,"$4,878,049","$5,319,988",2022
223,Bruce Brown,"$4,736,102","$5,165,181",2022
224,Deni Avdija,"$4,692,840","$5,117,999",2022
225,Donte DiVincenzo,"$4,675,830","$5,099,448",2022
226,Cam Reddish,"$4,670,160","$5,093,265",2022
227,David Nwaba,"$4,650,000","$5,071,278",2022
228,Furkan Korkmaz,"$4,629,630","$5,049,063",2022
229,Davion Mitchell,"$4,603,200","$5,020,238",2022
230,Ishmael Smith,"$4,500,000","$4,907,689",2022
230,Bryn Forbes,"$4,500,000","$4,907,689",2022
230,Jeff Green,"$4,500,000","$4,907,689",2022
233,Jalen Smith,"$4,458,000","$4,861,884",2022
234,Lonnie Walker,"$4,447,896","$4,850,864",2022
235,Cameron Johnson,"$4,437,000","$4,838,981",2022
236,Ziaire Williams,"$4,373,040","$4,769,226",2022
237,Moe Harkless,"$4,347,600","$4,741,482",2022
237,Bobby Portis,"$4,347,600","$4,741,482",2022
239,Kevin Huerter,"$4,253,357","$4,638,700",2022
240,Devin Vassell,"$4,235,160","$4,618,855",2022
241,Chandler Hutchison,"$4,224,186","$4,606,886",2022
242,Willie Cauley-Stein,"$4,220,083","$4,602,412",2022
243,PJ Washington,"$4,215,120","$4,596,999",2022
244,James Bouknight,"$4,154,400","$4,530,778",2022
245,Jevon Carter,"$4,107,149","$4,479,246",2022
246,Josh Okogie,"$4,087,904","$4,458,258",2022
247,Grayson Allen,"$4,054,695","$4,422,040",2022
248,Jarred Vanderbilt,"$4,050,000","$4,416,920",2022
249,Tyrese Haliburton,"$4,023,600","$4,388,128",2022
250,Tyler Herro,"$4,004,280","$4,367,058",2022
251,Terence Davis,"$4,000,000","$4,362,390",2022
251,Dorian Finney-Smith,"$4,000,000","$4,362,390",2022
251,Gorgui Dieng,"$4,000,000","$4,362,390",2022
254,Aaron Holiday,"$3,980,551","$4,341,179",2022
255,Josh Primo,"$3,946,800","$4,304,370",2022
256,Jake Layman,"$3,940,184","$4,297,155",2022
257,Anfernee Simons,"$3,938,818","$4,295,665",2022
258,Justise Winslow,"$3,902,439","$4,255,990",2022
259,Kira Lewis,"$3,822,240","$4,168,525",2022
260,Romeo Langford,"$3,804,360","$4,149,025",2022
261,Sekou Doumbouya,"$3,799,131","$4,143,322",2022
262,Landry Shamet,"$3,768,342","$4,109,744",2022
263,Chris Duarte,"$3,749,400","$4,089,086",2022
264,Alex Len,"$3,732,000","$4,070,110",2022
265,Robert Williams,"$3,661,976","$3,993,742",2022
266,Aaron Nesmith,"$3,631,200","$3,960,177",2022
267,Moses Moody,"$3,562,200","$3,884,926",2022
268,Mike Muscala,"$3,500,000","$3,817,091",2022
268,Boban Marjanovic,"$3,500,000","$3,817,091",2022
270,Cole Anthony,"$3,449,400","$3,761,907",2022
271,Corey Kispert,"$3,383,640","$3,690,189",2022
272,Luka Samanic,"$3,355,239","$3,659,215",2022
273,Georges Niang,"$3,300,000","$3,598,972",2022
273,Michael Carter-Williams,"$3,300,000","$3,598,972",2022
275,Chuma Okeke,"$3,277,080","$3,573,975",2022
275,Isaiah Stewart,"$3,277,080","$3,573,975",2022
277,Nickeil Alexander-Walker,"$3,261,480","$3,556,962",2022
278,Alperen Sengun,"$3,214,680","$3,505,922",2022
279,Jon Leuer,"$3,169,348","$3,456,483",2022
280,Trey Burke,"$3,150,000","$3,435,382",2022
281,Aleksej Pokusevski,"$3,113,160","$3,395,204",2022
282,Facundo Campazzo,"$3,100,000","$3,380,852",2022
283,Goga Bitadze,"$3,098,400","$3,379,107",2022
284,Trey Murphy,"$3,053,760","$3,330,423",2022
285,Frank Jackson,"$3,000,000","$3,271,792",2022
285,Sterling Brown,"$3,000,000","$3,271,792",2022
287,Josh Green,"$2,957,520","$3,225,464",2022
288,Tre Mann,"$2,901,240","$3,164,085",2022
289,Andrew Nicholson,"$2,844,429","$3,102,127",2022
290,Matisse Thybulle,"$2,840,160","$3,097,471",2022
291,Saddiq Bey,"$2,824,320","$3,080,196",2022
292,Kai Jones,"$2,770,560","$3,021,566",2022
293,Brandon Clarke,"$2,726,880","$2,973,928",2022
294,Precious Achiuwa,"$2,711,280","$2,956,915",2022
295,Marc Gasol,"$2,692,991","$2,936,969",2022
296,Jalen Johnson,"$2,659,680","$2,900,640",2022
297,Paul Millsap,"$2,641,691","$2,881,021",2022
297,E'Twaun Moore,"$2,641,691","$2,881,021",2022
297,Markieff Morris,"$2,641,691","$2,881,021",2022
297,Udonis Haslem,"$2,641,691","$2,881,021",2022
297,Dwight Howard,"$2,641,691","$2,881,021",2022
297,Trevor Ariza,"$2,641,691","$2,881,021",2022
297,Wayne Ellington,"$2,641,691","$2,881,021",2022
297,Carmelo Anthony,"$2,641,691","$2,881,021",2022
297,Avery Bradley,"$2,641,691","$2,881,021",2022
297,Enes Kanter,"$2,641,691","$2,881,021",2022
297,Andre Iguodala,"$2,641,691","$2,881,021",2022
