Player,Pos,Age,Type,FROM,TO,Years,Value,Ave_Salary,Max Value,Year,Year_1,Year _2,Count Records 0,Count Records 1,Count Records 2,VORP_0,VORP_1,VORP_2,MP_0,MP_1,MP_2
Jose Barea,PG,36.4,UFA,DAL,DAL,1,2564753,2564753,2564753,2020,2019,2018,1 ,1 ,,1.3,-0.7,,,,
Josh Jackson,SG,23.8,UFA,MEM,DET,2,9772350,4886175,9772350,2020,2019,2018,1 ,1 ,,-0.1,0.5,,,,
Joshia Gray,G,27.2,RFA,NOP,OKC,3,5294220,1764740,5294220,2020,2019,2018,1 ,1 ,,1.3,0.3,,,,
Juancho Hernangomez,PF,25.2,RFA,MIN,MIN,3,21037320,7012440,21037320,2020,2019,2018,1 ,1 ,,0.4,0.5,,,,
Justin Holiday,SG,31.6,UFA,IND,IND,3,18019260,6006420,18019260,2020,2019,2018,1 ,1 ,,2,0.2,,,,
Kelan Martin,SF,25.2,UFA,MIN,IND,2,3147290,1573645,3147290,2020,2019,2018,1 ,1 ,,0,0,,,,
Kenrich Williams,PF,25.9,UFA,NOP,OKC,3,6000000,2000000,6000000,2020,2019,2018,1 ,1 ,,0.2,-0.2,,,,
Kent Bazemore,SG,31.3,UFA,SAC,GSW,1,2320044,2320044,2320044,2020,2019,2018,1 ,1 ,,0.1,0.8,,,,
Kentavious Caldwell-Pope,SG,27.8,UFA,LAL,LAL,3,39116585,13038862,39116585,2020,2019,2018,1 ,1 ,,0.2,0.2,,,,
Kris Dunn,PG,26.7,UFA,CHI,ATL,2,10000000,5000000,10000000,2020,2019,2018,1 ,1 ,,-0.1,-0.2,,,,
Langston Galloway,SG,28.9,UFA,DET,PHX,1,2028594,2028594,2028594,2020,2019,2018,1 ,1 ,,0.1,-0.1,,,,
Malik Beasley,SG,24.0,RFA,MIN,MIN,4,60000000,15000000,60000000,2020,2019,2018,1 ,1 ,,0.1,0.9,,,,
Marc Gasol,C,35.8,UFA,TOR,LAL,2,5257744,2628872,5257744,2020,2019,2018,1 ,1 ,,-0.1,-0.6,,,,
Marcus Morris Sr.,SF,31.2,UFA,LAC,LAC,4,64000000,16000000,64000000,2020,2019,2018,1 ,0 ,,0,0,,,,
Markieff Morris,PF,31.2,UFA,LAL,LAL,1,2331593,2331593,2331593,2020,2019,2018,1 ,1 ,,-0.1,0,,,,
Mason Plumlee,C,30.7,UFA,DEN,DET,3,24662500,8220833,24662500,2020,2019,2018,1 ,1 ,,-0.5,0,,,,
Matthew Dellavedova,PG,30.2,UFA,CLE,CLE,1,2174318,2174318,2174318,2020,2019,2018,0 ,1 ,,0,-0.1,,,,
Maurice Harkless,SF,27.5,UFA,NYK,MIA,1,3623000,3623000,3623000,2020,2019,2018,1 ,0 ,,0,0,,,,
Meyers Leonard,C,28.7,UFA,MIA,MIA,1,9400000,9400000,9400000,2020,2019,2018,1 ,0 ,,-0.1,0,,,,
Michael Carter-Williams,PG,29.1,UFA,ORL,ORL,2,6600000,3300000,6600000,2020,2019,2018,1 ,1 ,,0.3,0.8,,,,
Montrezl Harrell,C,26.8,UFA,LAC,LAL,2,18978900,9489450,18978900,2020,2019,2018,1 ,1 ,,0.4,0.7,,,,
Nerlens Noel,C,26.6,UFA,OKC,NYK,1,5000000,5000000,5000000,2020,2019,2018,1 ,0 ,,-0.2,0,,,,
Nicolas Batum,SF,31.9,UFA,CHA,LAC,1,2564753,2564753,2564753,2020,2019,2018,1 ,1 ,,0.6,0.4,,,,
Noah Vonleh,PF,25.2,UFA,DEN,CHI,1,2028594,2028594,2028594,2020,2019,2018,1 ,1 ,,0.1,0.2,,,,
Oshae Brissett,SF,22.4,RFA,TOR,TOR,2,3147290,1573645,3147290,2020,2019,2018,1 ,1 ,,0.1,-0.1,,,,
Pat Connaughton,SG,27.8,UFA,MIL,MIL,3,16000000,5333333,16000000,2020,2019,2018,1 ,1 ,,-0.1,0,,,,
Patrick Patterson,PF,31.7,UFA,LAC,LAC,1,3077704,3077704,3077704,2020,2019,2018,1 ,1 ,,1.6,1.9,,,,
Paul Millsap,PF,35.8,UFA,DEN,DEN,1,10000000,10000000,10000000,2020,2019,2018,1 ,1 ,,0.8,-0.1,,,,
Rajon Rondo,PG,34.8,UFA,LAL,ATL,2,15000000,7500000,15000000,2020,2019,2018,1 ,1 ,,1.9,1.2,,,,
Raul Neto,PG,28.5,UFA,PHI,WAS,1,1882867,1882867,1882867,2020,2019,2018,1 ,1 ,,-0.1,0,,,,
Reggie Jackson,PG,30.6,UFA,LAC,LAC,1,2331593,2331593,2331593,2020,2019,2018,1 ,1 ,,0.1,0.1,,,,
Robin Lopez,C,32.6,UFA,MIL,WAS,1,7300000,7300000,7300000,2020,2019,2018,1 ,1 ,,-0.1,-0.4,,,,
Rodney Hood,SF,28.1,UFA,POR,POR,2,20898696,10449348,20898696,2020,2019,2018,1 ,1 ,,0.3,0.6,,,,
Serge Ibaka,C,31.2,UFA,TOR,LAC,2,18978900,9489450,18978900,2020,2019,2018,1 ,1 ,,1.8,0.1,,,,
Sindarius Thornwell,SG,26.0,UFA,NOP,NOP,1,1678854,1678854,1678854,2020,2019,2018,1 ,1 ,,-0.3,0.1,,,,
Solomon Hill,SF,29.7,UFA,MIA,ATL,1,2174318,2174318,2174318,2020,2019,2018,1 ,1 ,,0,0.3,,,,
Thon Maker,C,23.8,UFA,DET,CLE,1,1737145,1737145,1737145,2020,2019,2018,1 ,1 ,,0.1,0.1,,,,
Torrey Craig,SF,29.9,UFA,DEN,MIL,1,1678854,1678854,1678854,2020,2019,2018,1 ,1 ,,0,0.2,,,,
Trey Burke,PG,28.0,UFA,DAL,DAL,3,9450000,3150000,9450000,2020,2019,2018,1 ,1 ,,0.5,2.6,,,,
Tristan Thompson,C,29.7,UFA,CLE,BOS,2,18978900,9489450,18978900,2020,2019,2018,1 ,0 ,,0,0,,,,
Tyler Johnson,SG,28.5,UFA,BKN,BKN,1,2028594,2028594,2028594,2020,2019,2018,1 ,1 ,,0.1,-0.3,,,,
Udonis Haslem,PF,40.4,UFA,MIA,MIA,1,2564753,2564753,2564753,2020,2019,2018,1 ,1 ,,0.1,0,,,,
Wayne Ellington,SG,33.0,UFA,NYK,DET,1,2564753,2564753,2564753,2020,2019,2018,1 ,1 ,,1.8,0.3,,,,
Wenyen Gabriel,PF,23.6,UFA,POR,NOP,2,3383360,1691680,3383360,2020,2019,2018,1 ,1 ,,-0.1,-0.1,,,,
Wesley Matthews,SG,34.1,UFA,MIL,LAL,1,3623000,3623000,3623000,2020,2019,2018,1 ,1 ,,1.1,0.3,,,,
Willie Cauley-Stein,C,27.2,UFA,DAL,DAL,2,8200000,4100000,8200000,2020,2019,2018,1 ,1 ,,-0.6,0.1,,,,
Willy Hernangomez,C,26.4,UFA,CHA,NOP,1,1737145,1737145,1737145,2020,2019,2018,1 ,1 ,,0,0,,,,
Zylan Cheatham,SF,25.0,RFA,NOP,OKC,3,4994028,1664676,4994028,2020,2019,2018,1 ,1 ,,-0.2,-0.7,,,,
Abdel Nader,SF,27.8,UFA,PHX,PHX,2,4160000,2080000,4160000,2021,2020,2019,1 ,1 ,,0.7,0.5,,,,
Alec Burks,SG,30.0,UFA,NYK,NYK,3,30038400,10012800,30038400,2021,2020,2019,1 ,1 ,,-0.1,-0.2,,,,
Alex Caruso,SG,27.4,UFA,LAL,CHI,4,37000000,9250000,37000000,2021,2020,2019,1 ,1 ,,0.6,0.7,,,,
Alex Len,C,28.1,UFA,WAS,SAC,2,7650600,3825300,7650600,2021,2020,2019,1 ,1 ,,-0.1,0,,,,
Alize Johnson,PF,25.3,UFA,BKN,CHI,2,3607937,1803969,3607937,2021,2020,2019,1 ,1 ,,-0.3,0.5,,,,
Andre Drummond,C,27.9,UFA,LAL,PHI,1,2401537,2401537,2401537,2021,2020,2019,1 ,1 ,,-0.2,0.6,,,,
Armoni Brooks,SG,23.2,RFA,HOU,HOU,1,1489065,1489065,1489065,2021,2020,2019,1 ,1 ,,-0.4,0.1,,,,
Austin Rivers,SG,29.0,UFA,DEN,DEN,1,2401537,2401537,2401537,2021,2020,2019,1 ,0 ,,0,0,,,,
Avery Bradley,PG,30.8,UFA,HOU,GSW,1,2641691,2641691,2641691,2021,2020,2019,1 ,1 ,,1.3,1.5,,,,
Ben McLemore,SF,28.4,UFA,LAL,POR,1,2389641,2389641,2389641,2021,2020,2019,0 ,0 ,,0,0,,,,
Blake Griffin,PF,32.3,UFA,BKN,BKN,1,2641691,2641691,2641691,2021,2020,2019,1 ,1 ,,0.9,-0.2,,,,
Boban Marjanovic,C,32.9,UFA,DAL,DAL,2,7000000,3500000,7000000,2021,2020,2019,1 ,1 ,,-0.5,-0.1,,,,
Bobby Portis,PF,26.4,UFA,MIL,MIL,2,8912580,4456290,8912580,2021,2020,2019,1 ,1 ,,1.4,2,,,,
