Unnamed: 0,PLAYER,Unnamed: 2,Real Salary,Year,New Player Name,Count Records,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional
,,,,2021,James Harden,1.0,James Harden,PG-SG,31.0,TOT,44.0,1609.0,24.5,0.618,0.455,0.44,2.5,20.6,11.9,44.4,1.6,1.8,16.8,28.4,5.3,1.7,7.0,0.208,6.2,1,7.2,3.7,hardeja01
,,,,2022,James Harden,1.0,James Harden,PG,32.0,BRK-PHI,65.0,2419.0,20.9,0.583,0.452,0.54,2.6,19.7,11.3,40.3,1.7,1.3,18.8,27.2,4.9,2.7,7.6,0.152,3.7,0.3,4,3.7,hardeja01
,,,,2019,James Johnson,1.0,James Johnson,PF,31.0,MIA,55.0,1164.0,10.9,0.522,0.393,0.185,2.0,14.1,8.0,17.0,1.5,2.1,15.3,17.8,0.0,1.5,1.5,0.062,-2.4,1.1,-1.2,0.2,johnsja01
,,,,2020,James Johnson,1.0,James Johnson,PF-C,32.0,TOT,32.0,619.0,14.8,0.572,0.423,0.223,4.3,16.3,10.3,18.4,1.9,4.6,16.9,19.4,0.3,0.8,1.1,0.089,-1.1,1.2,0,0.3,johnsja01
,,,,2021,James Johnson,1.0,James Johnson,PF,33.0,TOT,51.0,1043.0,11.4,0.51,0.367,0.232,3.4,15.1,9.3,12.9,2.0,3.8,13.2,17.1,-0.1,1.3,1.2,0.055,-2.7,1.5,-1.2,0.2,johnsja01
,,,,2022,James Johnson,1.0,James Johnson,PF,34.0,BRK,62.0,1191.0,10.3,0.513,0.277,0.179,4.8,14.6,9.8,14.5,1.2,2.6,12.7,13.7,0.6,1.1,1.7,0.068,-2.7,0.6,-2.2,-0.1,johnsja01
,,,,2019,James Nunnally,1.0,James Nunnally,SF,28.0,TOT,15.0,102.0,7.3,0.503,0.735,0.118,0.0,5.3,2.6,9.5,0.5,0.0,2.7,15.3,0.1,0.0,0.1,0.035,-1.9,-2.9,-4.8,-0.1,nunnaja01
,,,,2021,James Nunnally,1.0,James Nunnally,SF,30.0,NOP,9.0,48.0,8.3,0.54,0.923,0.154,4.5,15.8,10.2,8.1,0.0,0.0,12.6,13.9,0.0,0.0,0.0,0.031,-0.9,-1.8,-2.7,0.0,nunnaja01
,,,,2021,James Wiseman,1.0,James Wiseman,C,19.0,GSW,39.0,836.0,13.1,0.552,0.103,0.234,7.1,21.5,14.4,4.9,0.6,3.8,12.9,23.8,-0.4,1.2,0.7,0.042,-4.0,-1,-5,-0.6,wisemja01
,,,,2022,Jamorko Pickett,1.0,Jamorko Pickett,PF,24.0,DET,13.0,176.0,7.6,0.491,0.78,0.04,3.5,16.8,9.8,5.8,0.0,3.6,8.9,13.6,0.0,0.1,0.1,0.015,-2.8,-2.1,-5,-0.1,pickeja01
