Rk,Player,2021/22,2021/22
189,Patrick Mills,$5.890.000,$6.423.619
192,Kevin Knox,$5.845.978,$6.375.609
193,Coby White,$5.837.760,$6.366.646
194,Timofey Mozgov,$5.573.333,$6.078.263
195,Killian Hayes,$5.572.680,$6.077.551
196,Mikal Bridges,$5.557.725,$6.061.241
197,Shai Gilgeous-Alexander,$5.495.532,$5.993.413
198,Jonathan Kuminga,$5.466.360,$5.961.598
199,Miles Bridges,$5.421.493,$5.912.667
200,Jaxson Hayes,$5.348.280,$5.832.821
201,Pat Connaughton,$5.333.334,$5.816.521
202,Kris Dunn,$5.317.430,$5.799.175
203,George Hill,$5.275.491,$5.753.437
204,Michael Porter,$5.258.735,$5.735.163
205,Dewayne Dedmon,$5.256.308,$5.732.516
206,Ryan Anderson,$5.214.583,$5.687.011
207,Hamidou Diallo,$5.200.000,$5.671.107
208,Kevon Looney,$5.178.572,$5.647.738
209,Troy Brown,$5.170.564,$5.639.004
210,Obi Toppin,$5.105.160,$5.567.675
211,Franz Wagner,$5.007.840,$5.461.538
212,Josh Jackson,$5.005.350,$5.458.822
213,JaVale McGee,$5.000.000,$5.452.987
213,Robin Lopez,$5.000.000,$5.452.987
213,Luol Deng,$5.000.000,$5.452.987
213,Kendrick Nunn,$5.000.000,$5.452.987
213,Louis Williams,$5.000.000,$5.452.987
218,Danuel House,$4.997.424,$5.450.176
219,Rui Hachimura,$4.916.160,$5.361.552
220,Taj Gibson,$4.910.000,$5.354.834
220,Garrett Temple,$4.910.000,$5.354.834
222,Torrey Craig,$4.878.049,$5.319.988
223,Bruce Brown,$4.736.102,$5.165.181
224,Deni Avdija,$4.692.840,$5.117.999
225,Donte DiVincenzo,$4.675.830,$5.099.448
226,Cam Reddish,$4.670.160,$5.093.265
227,David Nwaba,$4.650.000,$5.071.278
228,Furkan Korkmaz,$4.629.630,$5.049.063
229,Davion Mitchell,$4.603.200,$5.020.238
230,Ishmael Smith,$4.500.000,$4.907.689
230,Bryn Forbes,$4.500.000,$4.907.689
230,Jeff Green,$4.500.000,$4.907.689
233,Jalen Smith,$4.458.000,$4.861.884
234,Lonnie Walker,$4.447.896,$4.850.864
235,Cameron Johnson,$4.437.000,$4.838.981
236,Ziaire Williams,$4.373.040,$4.769.226
237,Moe Harkless,$4.347.600,$4.741.482
237,Bobby Portis,$4.347.600,$4.741.482
239,Kevin Huerter,$4.253.357,$4.638.700
240,Devin Vassell,$4.235.160,$4.618.855
241,Chandler Hutchison,$4.224.186,$4.606.886
242,Willie Cauley-Stein,$4.220.083,$4.602.412
243,PJ Washington,$4.215.120,$4.596.999
244,James Bouknight,$4.154.400,$4.530.778
245,Jevon Carter,$4.107.149,$4.479.246
246,Josh Okogie,$4.087.904,$4.458.258
247,Grayson Allen,$4.054.695,$4.422.040
248,Jarred Vanderbilt,$4.050.000,$4.416.920
249,Tyrese Haliburton,$4.023.600,$4.388.128
250,Tyler Herro,$4.004.280,$4.367.058
251,Terence Davis,$4.000.000,$4.362.390
251,Dorian Finney-Smith,$4.000.000,$4.362.390
251,Gorgui Dieng,$4.000.000,$4.362.390
254,Aaron Holiday,$3.980.551,$4.341.179
255,Josh Primo,$3.946.800,$4.304.370
256,Jake Layman,$3.940.184,$4.297.155
257,Anfernee Simons,$3.938.818,$4.295.665
258,Justise Winslow,$3.902.439,$4.255.990
259,Kira Lewis,$3.822.240,$4.168.525
260,Romeo Langford,$3.804.360,$4.149.025
261,Sekou Doumbouya,$3.799.131,$4.143.322
262,Landry Shamet,$3.768.342,$4.109.744
263,Chris Duarte,$3.749.400,$4.089.086
264,Alex Len,$3.732.000,$4.070.110
265,Robert Williams,$3.661.976,$3.993.742
266,Aaron Nesmith,$3.631.200,$3.960.177
267,Moses Moody,$3.562.200,$3.884.926
268,Mike Muscala,$3.500.000,$3.817.091
268,Boban Marjanovic,$3.500.000,$3.817.091
270,Cole Anthony,$3.449.400,$3.761.907
271,Corey Kispert,$3.383.640,$3.690.189
272,Luka Samanic,$3.355.239,$3.659.215
273,Georges Niang,$3.300.000,$3.598.972
273,Michael Carter-Williams,$3.300.000,$3.598.972
275,Chuma Okeke,$3.277.080,$3.573.975
275,Isaiah Stewart,$3.277.080,$3.573.975
277,Nickeil Alexander-Walker,$3.261.480,$3.556.962
