Player,Pos,Age,Type,FROM,TO,Years,Value,Ave Salary,Max Value,Year,Year_1,Year _2,Count Records 0,Count Records 1,Count Records 2,VORP_0,VORP_1,VORP_1,MP_0,MP_1,MP_2
Matthew Dellavedova,PG,31.8>,UFA,CLE,SAC,1,"$2,628,597 ","$2,628,597 ","$2,628,597 ",2022 ,2021 ,2020 ,0 ,1 ,1 ,0,-0.3,-0.7,0,-6.4,-5.2
T.J. Warren,SF,28.8>,UFA,IND,BKN,1,"$2,628,597 ","$2,628,597 ","$2,628,597 ",2022 ,2021 ,2020 ,0 ,1 ,1 ,0,-0.1,1.7,0,-5.5,1.1
Frank Kaminsky,C,29.2>,UFA,PHX,ATL,1,"$2,463,490 ","$2,463,490 ","$2,463,490 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.3,0.6,0.3,4.9,1.3,-0.5
Raul Neto,PG,30.1>,UFA,WAS,CLE,1,"$2,463,490 ","$2,463,490 ","$2,463,490 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.4,0.5,0,-2.9,-0.6,-1.8
Jake Layman,SF,28.5>,UFA,MIN,BOS,1,"$2,298,385 ","$2,298,385 ","$2,298,385 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,0,-0.2,-3.9,-2.1,-3.7
Rodney McGruder,SG,31.0>,UFA,DET,DET,1,"$2,298,385 ","$2,298,385 ","$2,298,385 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,0.1,-0.2,-1.4,0.7,-3
Juancho Hernangomez,PF,26.8>,UFA,UTH,TOR,1,"$2,298,385 ","$2,298,385 ","$2,298,385 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.2,-0.2,-0.3,-0.6,-2.9,-3.4
Bryn Forbes,SG,28.9>,UFA,DEN,MIN,1,"$2,298,385 ","$2,298,385 ","$2,298,385 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.3,0.2,-0.3,-2.9,-1.3,-2.7
Frank Jackson,PG,24.3>,UFA,DET,PHX,1,"$2,133,278 ","$2,133,278 ","$2,133,278 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.4,0.1,-0.7,-3.5,-1.7,-5.5
Ryan Arcidiacono,PG,28.4>,UFA,NYK,NYK,1,"$2,133,278 ","$2,133,278 ","$2,133,278 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.1,0,-0.2,-4.6,-2.3,-2.8
Josh Jackson,SG,25.5>,UFA,SAC,TOR,1,"$2,133,278 ","$2,133,278 ","$2,133,278 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,-0.5,-0.4,0.2,-4.5,-3,0.1
Thomas Bryant,C,24.9>,UFA,WAS,LAL,1,"$2,133,278 ","$2,133,278 ","$2,133,278 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0.1,0.2,1.2,-1,0.9,2.2
Damion Lee,SG,29.7>,UFA,GSW,PHX,1,"$2,133,278 ","$2,133,278 ","$2,133,278 ",2022 ,2021 ,2020 ,1 ,1 ,1 ,0,0.6,-0.1,-2,0.2,-2.3
