RK,Player,2020/21,2020/21(*)
249,Patrick Patterson,3814771,4384684
250,Stanley Johnson,3804150,4372477
251,Jake Layman,3761085,4322978
252,Jerome Robinson,3737520,4295892
253,Danuel House,3717000,4272307
254,Kira Lewis,3640200,4184033
255,Romeo Langford,3631200,4173689
256,Moe Harkless,3623000,4164263
256,Bobby Portis,3623000,4164263
256,Wesley Matthews,3623000,4164263
259,Wayne Ellington,3564753,4097314
260,Kyle Kuzma,3562178,4094355
261,Michael Porter,3550800,4081277
262,Tony Bradley,3542060,4071231
263,Derrick White,3516284,4041604
264,Luca Vildoza,3500000,4022888
264,TJ McConnell,3500000,4022888
264,Boban Marjanovic,3500000,4022888
264,Bismack Biyombo,3500000,4022888
268,Josh Hart,3491159,4012726
269,Aaron Nesmith,3458400,3975073
270,Sekou Doumbouya,3449400,3964728
271,Dewayne Dedmon,3447478,3962519
272,Troy Brown,3372840,3876730
273,Jeff Teague,3372826,3876714
274,James Ennis,3300000,3793008
274,Michael Carter-Williams,3300000,3793008
276,Cole Anthony,3285120,3775905
277,Taj Gibson,3283684,3774255
278,Facundo Campazzo,3200000,3678069
279,Jon Leuer,3169348,3642837
280,Chuma Okeke,3121080,3587358
280,Isaiah Stewart,3121080,3587358
282,Nickeil Alexander-Walker,3113160,3578255
283,DeMarcus Cousins,3051832,3507765
284,Donte DiVincenzo,3044160,3498947
285,Khem Birch,3011499,3461406
286,Trey Burke,3000000,3448189
286,Ryan Arcidiacono,3000000,3448189
288,Aleksej Pokusevski,2964840,3407777
289,Goga Bitadze,2957520,3399363
290,Lonnie Walker,2895720,3328330
291,Ben McLemore,2893630,3325927
292,Andrew Nicholson,2844429,3269377
293,Luka Samanic,2824320,3246263
294,Josh Green,2816760,3237574
295,Kevin Huerter,2761920,3174541
296,Marko Guduric,2750000,3160840
296,Alex Caruso,2750000,3160840
298,Matisse Thybulle,2711280,3116336
299,Saddiq Bey,2689920,3091784
300,Josh Okogie,2651040,3047096
301,Vincent Poirier,2619207,3010507
302,Brandon Clarke,2602920,2991787
303,Precious Achiuwa,2582160,2967925
304,Carmelo Anthony,2564753,2947918
304,Dwight Howard,2564753,2947918
304,Udonis Haslem,2564753,2947918
304,Jared Dudley,2564753,2947918
304,Marc Gasol,2564753,2947918
304,Jose Juan Barea,2564753,2947918
304,Jeff Green,2564753,2947918
311,Grayson Allen,2545320,2925582
312,Grant Williams,2498760,2872066
313,Tyrese Maxey,2478840,2849170
314,Chandler Hutchison,2443440,2808481
315,Mfiondu Kabengele,2432353,2795737
316,Darius Bazley,2399160,2757586
317,Moritz Wagner,2383915,2740063
318,Zeke Nnaji,2379840,2735380
319,Aaron Holiday,2345640,2696070
320,Bryn Forbes,2337145,2686306
321,E'Twaun Moore,2331593,2679925
321,Markieff Morris,2331593,2679925
321,Reggie Jackson,2331593,2679925
324,Hassan Whiteside,2320044,2666650
324,Kent Bazemore,2320044,2666650
326,Ty Jerome,2303040,2647106
327,Mike Muscala,2283034,2624111
328,Anfernee Simons,2252040,2588487
329,Brad Wanamaker,2250000,2586142
329,Luke Kornet,2250000,2586142
331,Monta Ellis,2245400,2580855
332,Nassir Little,2210640,2540902
333,RJ Hampton,2193480,2521178
334,Matthew Dellavedova,2174318,2499153
334,Solomon Hill,2174318,2499153
336,Edmond Sumner,2160000,2482696
337,Anderson Varejao,2141713,2461677
338,Dylan Windler,2137440,2456766
339,Immanuel Quickley,2105520,2420077
340,John Konchar,2100000,2413732
341,Landry Shamet,2090040,2402284
342,Jordan Poole,2063280,2371527
343,Bol Bol,2058240,2365734
344,Keldon Johnson,2048040,2354010
345,Payton Pritchard,2035800,2339941
346,Robert Williams,2029920,2333183
347,Langston Galloway,2028594,2331659
347,Bruno Caboclo,2028594,2331659
347,Tyler Johnson,2028594,2331659
350,Gary Clark,2018458,2320008
351,Jacob Evans,2017320,2318700
352,Spencer Hawes,2007058,2306905
353,Dzanan Musa,2002800,2302011
354,Theo Maledon,2000000,2298793
354,Kenrich Williams,2000000,2298793
354,Damyean Dotson,2000000,2298793
357,Omari Spellman,1988280,2285322
358,Quinn Cook,1981649,2277700
359,Cameron Payne,1977011,2272369
359,Mario Hezonja,1977011,2272369
361,Udoka Azubuike,1977000,2272357
362,Jaden McDaniels,1964760,2258288
363,Malachi Flynn,1950600,2242013
364,Desmond Bane,1936440,2225737
365,Jontay Porter,1900000,2183853
366,Raul Neto,1882867,2164160
366,JaKarr Sampson,1882867,2164160
366,Jahlil Okafor,1882867,2164160
369,Larry Sanders,1865546,2144252
370,Marquese Chriss,1824003,2096502
370,David Nwaba,1824003,2096502
370,Timothe Luwawu,1824003,2096502
373,Georges Niang,1783557,2050014
374,Rodions Kurucs,1780152,2046100
375,Furkan Korkmaz,1762796,2026151
375,Alfonzo McKinnie,1762796,2026151
375,Damion Lee,1762796,2026151
375,PJ Dozier,1762796,2026151
379,Abdel Nader,1752950,2014834
379,Semi Ojeleye,1752950,2014834
381,DeAndre Bembry,1737145,1996668
381,Frank Kaminsky,1737145,1996668
381,Willy Hernangomez,1737145,1996668
381,Thon Maker,1737145,1996668
385,Monte Morris,1723707,1981222
386,Kevin Porter,1717981,1974641
387,Shake Milton,1701593,1955805
387,Thanasis Antetokounmpo,1701593,1955805
387,Brandon Goodwin,1701593,1955805
390,Ignas Brazdeikis,1686315,1938244
391,Torrey Craig,1678854,1929669
391,Dwayne Bacon,1678854,1929669
391,Wesley Iwundu,1678854,1929669
391,Sterling Brown,1678854,1929669
395,Isaac Bonga,1663861,1912436
395,Gary Trent Jr,1663861,1912436
395,Sviatoslav Mykhailiuk,1663861,1912436
395,Mitchell Robinson,1663861,1912436
395,Jarred Vanderbilt,1663861,1912436
395,Kendrick Nunn,1663861,1912436
395,Duncan Robinson,1663861,1912436
395,Hamidou Diallo,1663861,1912436
395,Jalen Brunson,1663861,1912436
395,Devonte Graham,1663861,1912436
395,Bruce Brown,1663861,1912436
406,Drew Eubanks,1620564,1862670
406,Harry Giles,1620564,1862670
406,Josh Gray,1620564,1862670
406,Wenyen Gabriel,1620564,1862670
406,Isaiah Hartenstein,1620564,1862670
411,Daniel Gafford,1517981,1744762
411,Matt Thomas,1517981,1744762
411,Juwan Morgan,1517981,1744762
411,Miye Oni,1517981,1744762
411,Chris Silva,1517981,1744762
411,Terence Davis,1517981,1744762
411,Justin James,1517981,1744762
411,Admiral Schofield,1517981,1744762
411,Isaiah Roby,1517981,1744762
411,Luguentz Dort,1517981,1744762
411,Jaylen Nowell,1517981,1744762
411,Naz Reid,1517981,1744762
411,KZ Okpala,1517981,1744762
411,Talen Horton-Tucker,1517981,1744762
411,Terance Mann,1517981,1744762
411,Jalen Lecque,1517981,1744762
411,Chris Clemons,1517981,1744762
411,Mychal Mulder,1517981,1744762
411,Alen Smailagic,1517981,1744762
411,Eric Paschall,1517981,1744762
411,Vlatko Cancar,1517981,1744762
411,Dean Wade,1517981,1744762
411,Javonte Green,1517981,1744762
411,Jalen McDaniels,1517981,1744762
411,Caleb Martin,1517981,1744762
411,Cody Martin,1517981,1744762
411,Nicolas Claxton,1517981,1744762
411,Carsen Edwards,1517981,1744762
411,Bruno Fernando,1517981,1744762
440,Robert Woodard,1500000,1724094
441,Damian Jones,1487284,1709477
442,JR Smith,1456667,1674288
443,Paul Watson,1445697,1661679
443,Zylan Cheatham,1445697,1661679
443,Kelan Martin,1445697,1661679
443,DaQuan Jeffries,1445697,1661679
443,Jae'Sean Tate,1445697,1661679
448,Vernon Carey,1350000,1551685
449,Xavier Tillman,1300000,1494215
450,Tyrell Terry,1289846,1482544
451,Oshae Brissett,1255493,1443058
452,Moses Brown,1250000,1436745
453,Sindarius Thornwell,1235889,1420525
454,Ersan Ilyasova,1194542,1373002
455,Glenn Robinson III,1165322,1339417
456,Zhaire Smith,1068200,1227785
457,Khyri Thomas,1061283,1219834
458,Guerschon Yabusele,1039080,1194315
459,Norvel Pelle,1014905,1166527
460,Jahmi'us Ramsey,1000000,1149396
460,Lamar Stevens,1000000,1149396
460,Nick Richards,1000000,1149396
